amp,freq
38,8000.0
62,8000.0
18,16000.0
7,8000.0
13,16000.0
71,4000.0
37,4000.0
51,3200.0
17,4000.0
86,3200.0
15,4000.0
53,8000.0
21,8000.0
48,8000.0
16,5333.333333333333
1,16000.0
30,16000.0
19,8000.0
8,8000.0
4,16000.0
16,16000.0
10,8000.0
23,5333.333333333333
3,16000.0
58,8000.0
1,5333.333333333333
55,8000.0
38,16000.0
53,8000.0
95,4000.0
39,5333.333333333333
10,16000.0
38,8000.0
8,8000.0
137,4000.0
19,4000.0
26,16000.0
9,16000.0
63,5333.333333333333
11,16000.0
41,8000.0
33,8000.0
77,4000.0
70,8000.0
22,16000.0
85,8000.0
22,8000.0
65,8000.0
36,16000.0
60,8000.0
64,3200.0
30,8000.0
79,8000.0
76,16000.0
77,16000.0
60,16000.0
75,16000.0
66,8000.0
19,8000.0
18,8000.0
78,5333.333333333333
14,5333.333333333333
102,3200.0
38,3200.0
35,8000.0
31,16000.0
53,16000.0
3,5333.333333333333
103,5333.333333333333
48,8000.0
81,16000.0
1,4000.0
115,8000.0
45,5333.333333333333
0,8000.0
10,16000.0
55,8000.0
16,4000.0
47,8000.0
8,8000.0
93,8000.0
10,8000.0
19,16000.0
11,16000.0
74,8000.0
16,8000.0
91,8000.0
11,5333.333333333333
126,8000.0
14,4000.0
59,8000.0
54,8000.0
120,5333.333333333333
68,16000.0
113,8000.0
58,8000.0
109,8000.0
32,8000.0
47,8000.0
16,5333.333333333333
5,8000.0
30,16000.0
5,16000.0
58,5333.333333333333
3,5333.333333333333
19,16000.0
78,5333.333333333333
92,5333.333333333333
3,8000.0
68,5333.333333333333
40,3200.0
54,2666.6666666666665
9,5333.333333333333
31,16000.0
4,8000.0
59,8000.0
80,5333.333333333333
7,8000.0
13,16000.0
54,8000.0
17,5333.333333333333
130,3200.0
83,16000.0
123,8000.0
18,5333.333333333333
48,16000.0
5,8000.0
61,16000.0
10,8000.0
9,16000.0
12,16000.0
58,8000.0
1,16000.0
58,4000.0
33,16000.0
110,8000.0
63,8000.0
65,16000.0
62,16000.0
80,5333.333333333333
70,3200.0
12,5333.333333333333
39,16000.0
19,8000.0
85,8000.0
2,8000.0
87,4000.0
23,5333.333333333333
69,8000.0
53,3200.0
4,8000.0
20,16000.0
40,8000.0
15,8000.0
68,4000.0
7,3200.0
58,5333.333333333333
24,8000.0
22,4000.0
59,8000.0
30,8000.0
56,16000.0
4,8000.0
